ID,Time,Item,Concept,Metaphor,speranza,disperazione,ottimismo,pessimismo,proj_hope,proj_despair,net_hope
ISG001,pre,1,Climate change,Il cambiamento climatico è come un dolore perché sta influenzato l'ecosistema,0.0004381890466902405,0.9994138479232788,0.0007000406039878726,0.9915707111358643,0.3773009632265037,0.7618799010883479,-0.3845789378618442
ISG001,pre,2,Pollution,L'inquinamento è come la morte perché fa morire animali e piante,0.0010670425835996866,0.994698166847229,0.0005162725574336946,0.18550413846969604,0.23397409041255082,0.623519191510526,-0.38954510109797524
ISG001,pre,3,Glaciers,I ghiacciai sono come una distesa d'acqua perché si stanno sciogliendo,0.025760559365153313,0.01403657253831625,0.01539491955190897,0.04236419498920441,0.6243266167521606,0.31374748042865586,0.31057913632350476
ISG001,pre,4,Sea,Il mare è come un accumulo di rifiuti perché gli uomini ci buttano spazzatura,0.007218753453344107,0.09272884577512741,0.008544331416487694,0.08682543784379959,0.25102352454345356,0.5821643130504061,-0.3311407885069525
ISG001,pre,5,Plants,Le piante sono come l'aria perché sono indispensabili,0.021471241489052773,0.0030813636258244514,0.14134065806865692,0.01630876585841179,0.5730839559904723,0.16177493867260465,0.41130901731786773
ISG001,post,1,Climate change,Il cambiamento climatico è come la morte di animali perché è importante,0.003228764282539487,0.36934351921081543,0.0030455742962658405,0.4189791679382324,0.5755847696094937,0.7666501352285879,-0.19106536561909426
ISG001,post,2,Pollution,L'inquinamento è come uno spreco perché .si spreca acqua e energia elettrica,0.07963873445987701,0.32072487473487854,0.003033736255019903,0.012970387004315853,0.257694423684255,0.681367490446456,-0.42367306676220096
ISG001,post,3,Glaciers,I ghiacciai sono come dei torrenti perché si sciolgono in continuazione,0.05000489205121994,0.01024860143661499,0.07011260092258453,0.01923425868153572,0.6179400138900961,0.26144173322063885,0.35649828066945727
ISG001,post,4,Sea,Il mare è come un bidone della spazzatura perché è pieno di rifiuti,0.00682395463809371,0.7834815382957458,0.013402404263615608,0.5257340669631958,0.20032000232154074,0.6304673979279356,-0.43014739560639487
ISG001,post,5,Plants,Le piante sono come delle piante senza foglie perché né perdono tantissime al giorno,0.22164538502693176,0.37593552470207214,0.28567078709602356,0.576780378818512,0.5167763939149257,0.5816018390760219,-0.06482544516109623
ISG002,pre,1,Climate change,Il cambiamento climatico è come il ferro sciolto perché può alzarsi di temperatura e può abbassarsi,0.007770581636577845,0.0032540052197873592,0.017900167033076286,0.1483553797006607,0.7400349816511458,0.5849099598149812,0.1551250218361646
ISG002,pre,2,Pollution,L'inquinamento è come una discarica perché porta molto sporco e fumo e cose brutte,0.0015158916357904673,0.4437209367752075,0.0008328334079124033,0.8083321452140808,0.2403300516671799,0.6859587237144977,-0.4456286720473178
ISG002,pre,3,Glaciers,I ghiacciai sono come un ghiacciolo perché sono molto freddi e sono ghiacciati,0.22575783729553223,0.034326303750276566,0.05189349502325058,0.577852725982666,0.5895774223392685,0.5803624923602291,0.009214929979039388
ISG002,pre,4,Sea,Il mare è come un'enorme vasca di acqua salata perché il are sembra un vasca e ha anche l'acqua salata,0.475848913192749,0.022575266659259796,0.6712551116943359,0.15348570048809052,0.5547008406584897,0.15253238801547014,0.40216845264301954
ISG002,pre,5,Plants,Le piante sono come noi ma senza braccia e senza gambe e tengono l'anidride carbonica perché respirano e sentono dolore,0.13117322325706482,0.7699030637741089,0.10828322172164917,0.469277024269104,0.5032052334696491,0.6189670637323209,-0.11576183026267184
ISG002,post,1,Climate change,Il cambiamento climatico è come un forno perché perché si sta riscaldando sempre di più,0.004101929720491171,0.01662507839500904,0.01515986118465662,0.07273544371128082,0.7318010592213358,0.648318560419759,0.08348249880157677
ISG002,post,2,Pollution,L'inquinamento è come una discarica perché perché una discarica è molto sporca  come l'inquinamento,0.01774631254374981,0.23894953727722168,0.0024919677525758743,0.10063529759645462,0.2939070995527464,0.6550208147237093,-0.3611137151709629
ISG002,post,3,Glaciers,I ghiacciai sono come un ghiacciolo al limone perché perché i ghiacciai sono biachi e freddi esattamente come il ghiacciolo al limone,0.23801842331886292,0.12264137715101242,0.34191203117370605,0.5810653567314148,0.602044518071301,0.38461877038350045,0.21742574768780054
ISG002,post,4,Sea,Il mare è come una pentola di acqua fredda salata perché sono praticamente uguali cambiano solo le forme,0.04738177731633186,0.0009907910134643316,0.1766005903482437,0.02367817983031273,0.5469847676688352,0.2857490740372659,0.2612356936315693
ISG002,post,5,Plants,Le piante sono come un compressore perché perché buttano fuori aria come i compressori,0.022371457889676094,0.006705847568809986,0.0249165128916502,0.03096751496195793,0.5354853050430757,0.15535030844672962,0.3801349965963461
ISG003,pre,1,Climate change,Il cambiamento climatico è come un fornello perché si scalda e si spegne,0.006163010373711586,0.0026214411482214928,0.013083389028906822,0.033242542296648026,0.7988863638987507,0.6439024015689745,0.15498396232977618
ISG003,pre,2,Pollution,L'inquinamento è come un stregone malvagio perché fa morire molti esseri viventi,0.010418376885354519,0.9983418583869934,0.010997558943927288,0.995470404624939,0.23459574237147393,0.6422857385846223,-0.4076899962131484
ISG003,pre,3,Glaciers,I ghiacciai sono come un congelatore perché li fa molto freddo,0.017045317217707634,0.03194934129714966,0.006957608740776777,0.45162883400917053,0.5063201861788232,0.5663241628054326,-0.06000397662660939
ISG003,pre,4,Sea,Il mare è come una distesa di acqua infinita perché c'è molta acqua,0.2499045878648758,0.177958145737648,0.3871109187602997,0.02917361818253994,0.5986096705002351,0.22338983967122172,0.37521983082901333
ISG003,pre,5,Plants,Le piante sono come degli esseri viventi strani perché non sono simili rispetto agli umani,0.09251341223716736,0.00857748556882143,0.08202387392520905,0.058736901730298996,0.3814375702582114,0.4324612844810211,-0.05102371422280971
ISG003,post,1,Climate change,Il cambiamento climatico è come uno stregone malvagio che sta facendo una magia sulla terra perché il cuore di uno stregone malvagio è molto cattivo e duro come il ghiaccio,0.0028173401951789856,0.6909763216972351,0.0014664584305137396,0.9042285680770874,0.3765141270372466,0.7765597953089318,-0.4000456682716852
ISG003,post,2,Pollution,L'inquinamento è come un'aspirapolvere al contrario che rilascia del fumo perché il fumo fa male all'ambiente,0.024191487580537796,0.02108483947813511,0.008331900462508202,0.03670034930109978,0.2873670381584742,0.6616909592720114,-0.3743239211135372
ISG003,post,3,Glaciers,I ghiacciai sono come un congelatore che sta congelando l'acqua perché sono molto freddi e molto duri,0.01274726539850235,0.012407694011926651,0.0028173404280096292,0.02628028392791748,0.5307867395568774,0.5108070155345321,0.01997972402234527
ISG003,post,4,Sea,Il mare è come una bottiglia piena che quando finisce l'acqua si riproduce in continuazione perché perchè è una distesa di acqua enorme,0.21493850648403168,0.07500683516263962,0.4863315522670746,0.013689477927982807,0.5905383974720195,0.2218330980633657,0.3687052994086538
ISG003,post,5,Plants,Le piante sono come come dei fusti verdi che sembra che non si muovono e che non hanno vita perché non si spostano mai e al vento sono come degli oggetti e non hanno i piedi,0.30007854104042053,0.9911097288131714,0.31965211033821106,0.9422548413276672,0.31556165742386916,0.572692913954812,-0.2571312565309429
ISG004,pre,1,Climate change,Il cambiamento climatico è come il termometro perché cambia la temperatura,0.002878348110243678,0.001220795325934887,0.004972595721483231,0.0032794433645904064,0.6150168650478137,0.34103901699866845,0.27397784804914527
ISG004,pre,2,Pollution,L'inquinamento è come sacchetto della spazzatura perché è sporco,0.0044165560975670815,0.6429930925369263,0.0028895805589854717,0.041578859090805054,0.20982006050130836,0.6167519691727246,-0.4069319086714162
ISG004,pre,3,Glaciers,I ghiacciai sono come il ghiaccio perché è freddo,0.06705629080533981,0.0030396494548767805,0.006998209748417139,0.11471518874168396,0.6276761482649813,0.2979853357559435,0.3296908125090378
ISG004,pre,4,Sea,Il mare è come acqua perché è liquida,0.16016748547554016,0.002026899717748165,0.13254262506961823,0.008881675079464912,0.5300617486666409,0.11949876500247421,0.4105629836641667
ISG004,pre,5,Plants,Le piante sono come foglie perché sono ruvide,0.08812136203050613,0.01548398844897747,0.05942821875214577,0.19471211731433868,0.5163488322866581,0.4689192564593978,0.04742957582726026
